cluster_id,timestamp,temperature,soilTemperature,humidity,soilMoisture,azote_mg_kg,phosphore_mg_kg,potassium_mg_kg,ph
cluster_06,2025-12-10 13:30:00,29.62,28.94,43.12,47.28,121.75,27.27,193.09,6.71
cluster_07,2025-12-10 13:30:00,27.51,28.22,47.93,55.62,131.71,28.85,198.73,6.75
cluster_08,2025-12-10 13:30:00,27.42,26.53,227.12,59.03,131.72,29.77,199.2,
cluster_09,2025-12-10 13:30:00,27.29,26.98,45.13,59.64,130.84,30.55,202.17,6.71
cluster_10,2025-12-10 13:30:00,27.07,28.21,48.27,60.12,135.21,29.48,199.67,6.86
cluster_01,2025-12-10 14:00:00,26.91,27.01,45.47,58.4,130.23,29.92,199.4,6.78
cluster_02,2025-12-10 14:00:00,25.57,27.78,49.33,59.12,135.61,29.72,201.31,6.76
cluster_03,2025-12-10 14:00:00,26.75,26.9,47.02,60.86,137.48,30.74,203.73,6.81
cluster_04,2025-12-10 14:00:00,26.8,25.15,48.0,62.96,136.77,31.14,204.98,
cluster_05,2025-12-10 14:00:00,25.53,25.09,53.46,69.09,144.27,31.72,207.58,6.99
cluster_06,2025-12-10 14:00:00,27.36,29.24,47.52,51.29,120.62,27.2,195.7,6.69
cluster_07,2025-12-10 14:00:00,28.53,27.51,49.85,55.98,,29.02,200.54,6.67
cluster_08,2025-12-10 14:00:00,26.02,27.12,47.38,59.46,131.17,30.18,196.68,6.81
cluster_09,2025-12-10 14:00:00,5.33,,46.63,55.46,-133.67,30.33,998.5,6.75
cluster_10,2025-12-10 14:00:00,25.06,26.14,48.4,59.41,134.8,30.31,,6.84
cluster_01,2025-12-10 14:30:00,25.97,26.86,48.77,56.14,132.33,29.46,199.79,6.81
cluster_02,2025-12-10 14:30:00,25.57,25.9,54.41,60.44,135.16,29.75,198.58,6.73
cluster_03,2025-12-10 14:30:00,25.34,27.27,50.1,60.98,136.08,29.93,202.94,6.85
cluster_04,2025-12-10 14:30:00,24.31,25.85,50.78,63.17,137.27,30.68,199.96,6.87
cluster_05,2025-12-10 14:30:00,25.74,25.08,49.04,67.53,141.32,32.13,201.45,6.86
cluster_06,2025-12-10 14:30:00,27.85,27.67,51.02,49.05,121.45,26.76,189.86,6.67
cluster_07,2025-12-10 14:30:00,27.92,27.08,47.05,55.74,130.26,28.45,198.61,6.84
cluster_08,2025-12-10 14:30:00,26.16,25.64,46.95,59.82,131.54,29.56,197.77,6.7
cluster_09,2025-12-10 14:30:00,27.47,26.2,48.96,57.92,134.47,29.77,203.29,6.72
cluster_10,2025-12-10 14:30:00,26.56,26.16,48.8,-60.74,134.1,30.22,197.74,6.84
cluster_01,2025-12-10 15:00:00,25.68,25.64,49.77,56.34,134.01,29.63,1000.36,6.79
cluster_02,2025-12-10 15:00:00,25.55,26.26,47.58,,134.04,30.54,202.3,6.79
cluster_03,2025-12-10 15:00:00,25.61,25.81,49.89,61.5,135.14,30.36,202.92,6.72
cluster_04,2025-12-10 15:00:00,25.17,24.42,51.49,62.45,137.22,29.19,204.17,6.91
cluster_05,2025-12-10 15:00:00,25.4,23.88,48.88,64.37,143.68,31.94,202.83,6.89
cluster_06,2025-12-10 15:00:00,28.73,28.05,56.69,49.6,120.49,-26.9,191.09,6.68
cluster_07,2025-12-10 15:00:00,25.69,26.32,48.01,55.32,129.65,28.99,199.23,6.8
cluster_08,2025-12-10 15:00:00,25.94,26.5,53.56,,133.46,28.37,198.69,6.82
cluster_09,2025-12-10 15:00:00,26.03,25.34,48.77,59.23,133.04,29.76,200.29,6.86
cluster_10,2025-12-10 15:00:00,25.8,25.82,46.64,59.51,136.66,30.21,200.73,
cluster_01,2025-12-10 15:30:00,26.16,25.58,54.99,56.02,133.11,28.52,199.62,6.85
cluster_02,2025-12-10 15:30:00,,24.63,56.88,59.06,134.73,30.03,200.93,6.8
cluster_03,2025-12-10 15:30:00,23.35,24.63,52.54,62.87,136.18,30.55,200.48,6.8
cluster_04,2025-12-10 15:30:00,24.63,23.82,51.57,62.89,139.59,30.05,201.0,6.85
cluster_05,2025-12-10 15:30:00,23.81,23.08,46.72,67.34,141.92,31.09,204.01,6.94
cluster_06,2025-12-10 15:30:00,26.91,26.66,50.58,51.2,120.65,26.57,189.36,6.72
cluster_07,2025-12-10 15:30:00,24.75,25.1,53.22,57.16,131.08,28.72,196.49,6.72
cluster_08,2025-12-10 15:30:00,24.37,25.34,50.37,55.98,133.61,29.58,198.5,6.78
cluster_09,2025-12-10 15:30:00,25.68,24.55,54.0,290.89,132.31,29.74,199.85,6.66
cluster_10,2025-12-10 15:30:00,25.74,25.27,52.29,62.4,135.0,29.42,197.67,6.87
cluster_01,2025-12-10 16:00:00,25.07,23.78,51.91,57.5,132.74,29.56,200.47,6.8
cluster_02,2025-12-10 16:00:00,25.15,22.58,58.03,59.36,134.71,29.62,200.96,6.93
cluster_03,2025-12-10 16:00:00,24.44,23.63,58.92,61.3,139.22,30.11,199.41,6.83
cluster_04,2025-12-10 16:00:00,24.36,121.2,48.76,,136.1,150.68,202.2,6.77
cluster_05,2025-12-10 16:00:00,22.02,22.84,57.01,70.17,142.53,31.16,204.1,6.84
cluster_06,2025-12-10 16:00:00,26.6,25.5,58.49,49.17,120.29,26.84,193.55,6.76
cluster_07,2025-12-10 16:00:00,23.86,,56.62,57.27,131.65,28.05,194.11,33.67
cluster_08,2025-12-10 16:00:00,24.55,24.14,55.41,56.1,132.9,30.24,201.15,6.84
cluster_09,2025-12-10 16:00:00,24.17,24.41,53.39,58.34,132.42,30.09,199.33,6.78
cluster_10,2025-12-10 16:00:00,23.46,24.74,55.49,60.63,133.44,30.99,200.98,6.84
cluster_01,2025-12-10 16:30:00,22.64,23.39,58.02,58.27,130.74,29.41,197.22,6.77
cluster_02,2025-12-10 16:30:00,23.38,23.08,57.77,59.3,134.76,30.24,197.74,6.83
cluster_03,2025-12-10 16:30:00,22.22,22.78,59.54,60.61,135.39,29.77,201.22,6.86
cluster_04,2025-12-10 16:30:00,22.35,21.76,55.71,60.83,136.09,30.95,197.64,6.81
cluster_05,2025-12-10 16:30:00,21.41,21.89,57.58,67.46,142.41,32.15,206.92,6.84
cluster_06,2025-12-10 16:30:00,24.65,25.04,58.32,50.17,119.19,26.18,192.54,6.76
cluster_07,2025-12-10 16:30:00,23.47,23.22,59.42,55.84,130.45,28.69,200.07,6.79
cluster_08,2025-12-10 16:30:00,23.6,23.17,56.69,58.97,130.89,30.15,198.4,6.74
cluster_09,2025-12-10 16:30:00,23.23,23.55,55.87,57.55,133.9,29.25,200.22,6.66
cluster_10,2025-12-10 16:30:00,23.4,22.98,58.41,60.72,135.0,31.37,195.82,6.88
cluster_01,2025-12-10 17:00:00,22.85,22.98,59.32,58.75,128.55,29.28,200.74,6.78
cluster_02,2025-12-10 17:00:00,21.82,-21.75,59.35,59.38,134.97,30.23,201.99,6.74
cluster_03,2025-12-10 17:00:00,21.93,23.02,59.83,61.36,134.77,30.32,202.97,6.85
cluster_04,2025-12-10 17:00:00,22.53,22.17,57.35,62.21,137.15,28.84,200.28,6.86
cluster_05,2025-12-10 17:00:00,21.59,21.11,59.94,68.78,141.32,29.98,204.01,6.89
cluster_06,2025-12-10 17:00:00,23.56,24.76,60.97,49.36,119.42,26.83,,6.63
cluster_07,2025-12-10 17:00:00,,22.76,56.05,54.86,130.79,29.38,201.62,6.76
cluster_08,2025-12-10 17:00:00,22.15,22.25,63.81,57.08,129.7,29.06,199.54,6.77
cluster_09,2025-12-10 17:00:00,22.51,23.02,57.39,60.11,133.17,29.97,195.76,6.75
cluster_10,2025-12-10 17:00:00,22.08,21.57,59.3,60.68,134.1,29.93,196.44,6.77
cluster_01,2025-12-10 17:30:00,21.03,22.09,61.74,56.93,131.23,29.77,198.83,6.82
cluster_02,2025-12-10 17:30:00,21.5,22.02,60.94,59.23,131.94,30.66,200.11,6.77
cluster_03,2025-12-10 17:30:00,20.57,21.22,61.01,60.85,136.62,30.1,200.28,6.85
cluster_04,2025-12-10 17:30:00,19.3,21.12,61.42,61.71,135.79,31.51,198.68,6.93
cluster_05,2025-12-10 17:30:00,19.81,20.85,61.55,68.36,142.36,31.54,201.5,6.8
cluster_06,2025-12-10 17:30:00,22.78,23.06,60.37,46.58,121.17,27.14,193.0,6.76
cluster_07,2025-12-10 17:30:00,21.54,21.51,64.83,57.19,-130.78,28.79,200.53,6.67
cluster_08,2025-12-10 17:30:00,21.43,21.85,65.0,56.61,131.72,29.56,198.68,-6.85
cluster_09,2025-12-10 17:30:00,21.05,20.93,64.02,59.03,133.46,29.54,198.63,6.77
cluster_10,2025-12-10 17:30:00,22.03,21.26,62.48,59.95,135.22,30.24,202.18,6.74
cluster_01,2025-12-10 18:00:00,19.9,19.87,60.14,57.76,130.95,29.02,202.51,6.79
cluster_02,2025-12-10 18:00:00,18.89,19.72,61.75,58.15,134.95,30.66,199.03,6.87
cluster_03,2025-12-10 18:00:00,20.31,20.31,60.93,61.23,135.68,30.25,202.88,6.79
cluster_04,2025-12-10 18:00:00,20.38,20.31,63.72,62.49,137.95,30.44,202.21,6.76
cluster_05,2025-12-10 18:00:00,18.54,17.91,63.4,67.58,142.25,30.89,205.7,6.86
cluster_06,2025-12-10 18:00:00,,21.1,63.76,50.97,120.73,27.18,191.98,6.69
cluster_07,2025-12-10 18:00:00,20.66,19.87,63.2,58.37,130.06,29.8,196.92,34.29
cluster_08,2025-12-10 18:00:00,20.08,21.0,65.84,57.12,132.26,29.06,200.67,6.86
cluster_09,2025-12-10 18:00:00,20.69,20.77,63.3,58.64,133.81,29.38,198.4,6.86
cluster_10,2025-12-10 18:00:00,19.26,,61.53,60.33,136.17,29.99,199.01,6.81
cluster_01,2025-12-10 18:30:00,19.0,19.72,68.6,56.63,132.74,30.06,197.08,6.79
cluster_02,2025-12-10 18:30:00,17.83,18.57,69.74,59.47,135.28,29.32,200.3,6.91
cluster_03,2025-12-10 18:30:00,19.46,19.51,70.5,62.02,135.18,,203.98,6.72
cluster_04,2025-12-10 18:30:00,18.08,19.25,65.63,62.57,136.61,30.55,203.16,6.89
cluster_05,2025-12-10 18:30:00,16.87,17.11,64.33,66.83,144.01,31.38,205.3,6.89
cluster_06,2025-12-10 18:30:00,19.73,20.75,66.76,49.49,121.19,27.07,192.47,6.74
cluster_07,2025-12-10 18:30:00,20.22,19.71,67.27,55.02,130.66,29.14,195.28,6.74
cluster_08,2025-12-10 18:30:00,19.78,,70.74,57.7,660.0,28.98,199.7,6.75
cluster_09,2025-12-10 18:30:00,18.55,19.68,-68.85,56.19,133.62,29.57,200.62,6.81
cluster_10,2025-12-10 18:30:00,18.59,18.43,66.63,61.06,136.1,29.87,198.23,6.83
cluster_01,2025-12-10 19:00:00,18.83,18.73,68.69,55.65,129.13,30.38,201.91,6.74
cluster_02,2025-12-10 19:00:00,19.67,17.69,68.46,58.17,134.6,,196.08,6.72
cluster_03,2025-12-10 19:00:00,17.15,16.85,72.32,59.18,137.73,31.14,198.69,6.8
cluster_04,2025-12-10 19:00:00,16.96,16.93,13.57,-61.59,136.79,30.85,196.87,6.82
cluster_05,2025-12-10 19:00:00,15.43,16.56,68.21,64.51,142.73,31.61,201.17,6.88
cluster_06,2025-12-10 19:00:00,19.63,19.5,-68.17,48.92,120.21,27.54,,6.66
cluster_07,2025-12-10 19:00:00,18.6,19.06,67.41,58.85,129.08,29.17,195.4,6.84
cluster_08,2025-12-10 19:00:00,18.27,18.15,71.43,57.81,133.03,30.01,198.68,33.97
cluster_09,2025-12-10 19:00:00,18.45,18.02,71.32,58.07,132.39,29.38,198.74,6.74
cluster_10,2025-12-10 19:00:00,16.79,18.04,68.79,59.79,136.39,29.83,202.77,6.79
cluster_01,2025-12-10 19:30:00,17.27,17.5,71.43,57.05,132.69,28.97,198.9,6.74
cluster_02,2025-12-10 19:30:00,15.32,16.82,66.98,60.61,134.24,29.11,200.71,6.72
cluster_03,2025-12-10 19:30:00,16.1,16.07,74.58,62.2,138.26,29.64,199.65,6.88
cluster_04,2025-12-10 19:30:00,16.28,17.3,,62.24,137.66,31.54,201.62,6.87
cluster_05,2025-12-10 19:30:00,15.16,15.46,73.13,68.44,141.75,31.46,203.65,6.8
cluster_06,2025-12-10 19:30:00,18.8,96.74,72.13,49.38,119.85,27.81,189.97,6.71
cluster_07,2025-12-10 19:30:00,17.51,18.16,80.35,56.17,130.4,29.26,194.3,6.82
cluster_08,2025-12-10 19:30:00,17.55,16.9,76.65,57.43,134.91,28.82,198.78,6.8
cluster_09,2025-12-10 19:30:00,16.59,,71.3,58.39,131.28,29.79,197.33,6.86
cluster_10,2025-12-10 19:30:00,16.56,15.51,73.99,59.14,134.7,29.6,200.72,6.84
cluster_01,2025-12-10 20:00:00,15.74,16.86,78.47,57.06,130.87,28.99,197.08,6.71
cluster_02,2025-12-10 20:00:00,3.1,16.14,74.01,58.71,135.48,29.84,197.89,6.89
cluster_03,2025-12-10 20:00:00,14.06,16.12,73.02,-59.98,136.39,31.14,200.37,6.87
cluster_04,2025-12-10 20:00:00,16.51,16.01,78.6,62.77,137.6,30.82,203.17,6.81
cluster_05,2025-12-10 20:00:00,15.24,15.14,75.9,66.18,143.13,31.22,200.51,6.94
cluster_06,2025-12-10 20:00:00,18.71,18.59,74.15,48.64,121.12,27.62,197.72,6.72
cluster_07,2025-12-10 20:00:00,18.22,,73.77,54.04,133.09,29.21,197.15,6.71
cluster_08,2025-12-10 20:00:00,17.11,17.09,76.49,56.73,132.41,29.03,196.22,6.81
cluster_09,2025-12-10 20:00:00,16.45,15.97,74.38,58.02,133.78,29.48,199.56,6.8
cluster_10,2025-12-10 20:00:00,16.41,15.43,72.01,60.54,135.28,29.31,202.05,6.72
cluster_01,2025-12-10 20:30:00,14.83,16.34,76.84,,,30.2,197.32,6.86
cluster_02,2025-12-10 20:30:00,15.42,15.05,76.97,58.1,134.83,30.15,196.83,6.83
cluster_03,2025-12-10 20:30:00,15.27,14.57,75.28,60.41,135.46,29.44,201.09,6.84
cluster_04,2025-12-10 20:30:00,13.9,15.78,73.08,62.11,136.66,30.81,200.96,6.77
cluster_05,2025-12-10 20:30:00,14.8,13.23,78.5,67.32,142.24,31.2,202.83,6.9
cluster_06,2025-12-10 20:30:00,17.37,17.87,79.35,,122.62,27.44,193.89,6.64
cluster_07,2025-12-10 20:30:00,14.23,15.76,73.87,55.46,128.94,28.94,200.66,6.82
cluster_08,2025-12-10 20:30:00,14.91,16.15,74.62,58.85,131.56,29.1,200.08,6.76
cluster_09,2025-12-10 20:30:00,15.37,14.77,77.67,58.04,133.26,30.01,197.22,6.79
cluster_10,2025-12-10 20:30:00,14.45,14.45,78.82,59.82,135.56,30.22,199.56,6.79
cluster_01,2025-12-10 21:00:00,15.22,14.33,76.97,55.26,130.67,30.18,197.99,6.71
cluster_02,2025-12-10 21:00:00,14.83,14.48,74.93,58.97,133.53,30.41,197.08,
cluster_03,2025-12-10 21:00:00,14.08,13.79,74.1,60.92,136.14,30.55,200.12,6.84
cluster_04,2025-12-10 21:00:00,13.02,15.03,80.61,62.0,-136.23,30.41,202.3,1.37
cluster_05,2025-12-10 21:00:00,,13.15,81.07,66.0,142.65,32.81,202.75,6.97
cluster_06,2025-12-10 21:00:00,16.06,17.0,78.19,49.24,121.56,27.37,193.58,6.73
cluster_07,2025-12-10 21:00:00,15.43,15.15,81.15,57.04,130.25,29.11,198.2,6.75
cluster_08,2025-12-10 21:00:00,14.52,14.71,83.7,11.39,131.65,28.74,197.94,1.37
cluster_09,2025-12-10 21:00:00,14.63,14.78,81.36,58.63,134.94,30.46,195.13,6.73
cluster_10,2025-12-10 21:00:00,14.95,14.39,80.57,58.77,133.7,29.67,205.69,6.79
cluster_01,2025-12-10 21:30:00,14.55,13.65,84.63,56.72,129.15,29.1,198.92,6.75
cluster_02,2025-12-10 21:30:00,,2.96,81.14,58.95,135.13,29.96,202.47,6.83
cluster_03,2025-12-10 21:30:00,13.63,13.58,78.67,60.57,135.31,30.54,203.42,6.84
cluster_04,2025-12-10 21:30:00,14.53,13.53,81.4,62.07,138.71,30.52,202.49,6.86
cluster_05,2025-12-10 21:30:00,11.92,12.38,84.72,66.28,142.61,32.31,205.89,6.87
cluster_06,2025-12-10 21:30:00,14.48,15.94,78.14,48.71,121.75,26.86,194.37,6.77
cluster_07,2025-12-10 21:30:00,12.9,15.22,83.48,54.77,128.22,29.22,198.42,6.67
cluster_08,2025-12-10 21:30:00,13.65,14.49,81.61,56.79,132.78,29.64,197.45,6.69
cluster_09,2025-12-10 21:30:00,14.36,14.52,81.96,58.73,134.71,29.57,200.25,6.74
cluster_10,2025-12-10 21:30:00,13.18,13.43,81.24,60.25,135.28,28.57,198.82,6.73
cluster_01,2025-12-10 22:00:00,12.73,13.14,87.22,55.79,132.0,29.13,199.24,
cluster_02,2025-12-10 22:00:00,13.78,13.8,85.48,59.31,133.96,30.01,198.62,6.67
cluster_03,2025-12-10 22:00:00,13.13,13.0,84.18,58.29,136.38,29.8,201.3,6.8
cluster_04,2025-12-10 22:00:00,11.56,12.23,-79.76,60.22,135.25,,201.76,6.86
cluster_05,2025-12-10 22:00:00,12.68,12.37,81.86,67.08,144.1,31.23,204.17,6.84
cluster_06,2025-12-10 22:00:00,14.71,15.4,84.34,49.1,121.32,27.6,194.7,6.7
cluster_07,2025-12-10 22:00:00,13.7,15.41,82.83,55.74,131.33,28.69,200.27,6.76
cluster_08,2025-12-10 22:00:00,12.52,13.5,81.83,58.55,130.52,30.06,201.07,6.77
cluster_09,2025-12-10 22:00:00,13.22,13.33,84.9,56.39,133.92,29.6,200.19,6.76
cluster_10,2025-12-10 22:00:00,12.93,67.63,80.4,59.94,133.94,30.13,203.88,6.88
cluster_01,2025-12-10 22:30:00,13.05,12.94,86.21,58.27,131.7,29.23,196.66,6.83
cluster_02,2025-12-10 22:30:00,12.73,12.98,86.17,60.57,133.13,29.96,202.38,6.79
cluster_03,2025-12-10 22:30:00,12.6,13.59,83.72,62.4,137.44,30.52,200.07,6.81
cluster_04,2025-12-10 22:30:00,11.85,12.6,84.33,62.16,136.4,29.96,200.6,6.81
cluster_05,2025-12-10 22:30:00,12.08,12.51,86.12,,144.21,32.56,202.15,6.89
cluster_06,2025-12-10 22:30:00,15.53,14.15,87.09,48.24,120.3,28.06,192.83,6.77
cluster_07,2025-12-10 22:30:00,14.05,13.55,82.93,56.51,129.4,28.63,196.66,6.78
cluster_08,2025-12-10 22:30:00,12.19,13.92,86.14,56.14,132.85,29.34,196.26,6.81
cluster_09,2025-12-10 22:30:00,12.83,12.69,82.82,59.71,132.48,30.17,200.28,6.81
cluster_10,2025-12-10 22:30:00,12.94,13.11,81.37,294.11,137.29,30.23,199.72,6.74
cluster_01,2025-12-10 23:00:00,12.01,12.5,82.09,57.46,130.28,28.75,197.69,6.77
cluster_02,2025-12-10 23:00:00,11.71,11.65,83.63,56.84,133.73,29.4,198.92,6.82
cluster_03,2025-12-10 23:00:00,12.76,12.99,85.54,61.23,136.06,30.68,197.75,6.91
cluster_04,2025-12-10 23:00:00,13.11,12.38,84.41,,137.24,30.08,198.56,
cluster_05,2025-12-10 23:00:00,11.37,10.99,83.21,66.16,142.71,31.36,205.3,6.88
cluster_06,2025-12-10 23:00:00,14.25,14.64,89.23,10.34,118.65,27.3,191.67,6.69
cluster_07,2025-12-10 23:00:00,14.31,12.6,82.92,55.83,128.78,28.45,201.57,6.76
cluster_08,2025-12-10 23:00:00,13.1,11.91,83.43,57.14,133.29,28.52,198.72,6.8
cluster_09,2025-12-10 23:00:00,11.91,11.99,84.38,58.42,132.46,29.6,201.98,6.8
cluster_10,2025-12-10 23:00:00,11.23,12.1,82.33,60.04,135.2,30.86,197.49,1.35
cluster_01,2025-12-10 23:30:00,11.51,12.53,84.66,56.99,130.6,29.05,202.44,6.84
cluster_02,2025-12-10 23:30:00,12.92,12.28,82.07,59.21,135.13,30.81,196.78,6.85
cluster_03,2025-12-10 23:30:00,13.15,12.55,86.59,61.33,135.69,29.09,198.3,6.77
cluster_04,2025-12-10 23:30:00,11.94,10.9,84.24,62.14,134.61,29.89,198.54,6.75
cluster_05,2025-12-10 23:30:00,9.75,11.43,87.31,67.68,142.21,6.32,200.71,6.82
cluster_06,2025-12-10 23:30:00,13.41,14.55,85.45,49.16,121.61,27.95,194.36,6.75
cluster_07,2025-12-10 23:30:00,12.82,12.76,85.32,56.78,130.16,30.09,201.58,6.74
cluster_08,2025-12-10 23:30:00,12.87,12.43,84.78,57.78,132.51,29.86,201.46,6.85
cluster_09,2025-12-10 23:30:00,11.49,11.77,85.02,58.73,133.51,29.91,198.25,6.87
cluster_10,2025-12-10 23:30:00,11.49,12.05,83.11,59.4,135.7,30.32,200.79,6.87
cluster_01,2025-12-11 00:00:00,12.09,12.92,84.88,56.53,131.12,28.65,,6.75
cluster_02,2025-12-11 00:00:00,11.69,10.86,,58.9,135.44,29.13,197.62,6.75
cluster_03,2025-12-11 00:00:00,11.61,12.79,86.54,,134.01,30.49,200.38,6.9
cluster_04,2025-12-11 00:00:00,12.73,10.89,88.46,60.49,137.44,30.34,202.47,6.88
cluster_05,2025-12-11 00:00:00,10.26,10.72,83.63,67.07,144.14,31.52,205.41,6.96
cluster_06,2025-12-11 00:00:00,14.33,13.65,86.97,50.73,119.59,26.2,193.07,6.59
cluster_07,2025-12-11 00:00:00,13.45,13.31,79.05,55.89,132.03,29.38,197.12,6.83
cluster_08,2025-12-11 00:00:00,11.1,12.37,81.51,56.69,133.2,30.56,199.62,6.86
cluster_09,2025-12-11 00:00:00,12.34,13.05,85.29,59.15,133.26,29.91,196.12,1.36
cluster_10,2025-12-11 00:00:00,11.42,11.77,78.79,58.65,134.6,29.49,200.71,6.84
cluster_01,2025-12-11 00:30:00,13.04,12.61,83.35,56.72,132.57,29.01,199.43,6.8
cluster_02,2025-12-11 00:30:00,12.33,12.7,87.59,299.42,134.83,30.14,202.67,6.81
cluster_03,2025-12-11 00:30:00,12.75,11.79,80.4,59.53,137.63,29.08,196.58,1.36
cluster_04,2025-12-11 00:30:00,10.73,10.58,87.51,62.47,136.01,29.54,200.99,6.84
cluster_05,2025-12-11 00:30:00,9.93,10.68,85.38,64.67,141.83,31.23,202.21,6.85
cluster_06,2025-12-11 00:30:00,14.13,,,49.5,121.2,26.54,191.24,6.82
cluster_07,2025-12-11 00:30:00,14.08,12.75,83.53,56.15,130.48,29.0,196.25,6.77
cluster_08,2025-12-11 00:30:00,-11.58,12.06,89.9,,131.85,29.36,198.31,6.77
cluster_09,2025-12-11 00:30:00,12.48,13.89,85.71,56.57,129.82,30.39,199.21,6.66
cluster_10,2025-12-11 00:30:00,2.63,12.84,83.18,,134.78,28.84,198.17,6.77
cluster_01,2025-12-11 01:00:00,12.77,12.15,84.83,56.99,131.91,29.13,198.61,6.74
cluster_02,2025-12-11 01:00:00,14.25,12.54,81.36,58.7,134.51,31.02,199.76,6.76
cluster_03,2025-12-11 01:00:00,11.99,11.93,84.95,61.5,137.39,29.82,202.83,6.88
cluster_04,2025-12-11 01:00:00,12.19,12.36,86.5,61.01,136.94,30.48,200.76,6.79
cluster_05,2025-12-11 01:00:00,10.8,9.61,81.16,66.86,142.06,32.29,202.81,6.8
cluster_06,2025-12-11 01:00:00,14.22,15.3,88.6,48.72,122.72,27.42,195.45,6.77
cluster_07,2025-12-11 01:00:00,12.18,13.37,89.06,,130.81,28.63,199.17,1.34
cluster_08,2025-12-11 01:00:00,10.96,11.49,85.45,58.04,129.72,29.19,199.67,6.86
cluster_09,2025-12-11 01:00:00,12.21,13.84,83.2,57.78,133.66,29.48,-198.05,
cluster_10,2025-12-11 01:00:00,12.33,13.16,83.89,59.63,137.95,29.7,198.5,6.86
cluster_01,2025-12-11 01:30:00,13.51,12.03,79.89,58.15,129.66,29.29,198.75,6.89
cluster_02,2025-12-11 01:30:00,12.91,13.64,81.08,57.88,134.17,29.89,198.69,6.82
cluster_03,2025-12-11 01:30:00,11.33,13.16,75.1,61.18,,31.12,200.4,6.75
cluster_04,2025-12-11 01:30:00,13.29,12.32,82.66,62.0,135.53,151.53,200.01,6.8
cluster_05,2025-12-11 01:30:00,10.81,11.65,86.43,67.55,143.51,31.74,205.87,6.95
cluster_06,2025-12-11 01:30:00,13.38,15.37,80.26,48.94,119.79,27.53,193.94,6.69
cluster_07,2025-12-11 01:30:00,13.98,13.83,84.99,56.92,130.49,29.09,197.12,6.8
cluster_08,2025-12-11 01:30:00,13.04,13.01,83.02,59.42,132.09,30.13,198.56,6.74
cluster_09,2025-12-11 01:30:00,13.2,13.36,82.45,57.94,133.37,29.44,197.2,6.73
cluster_10,2025-12-11 01:30:00,12.8,13.56,83.52,59.76,136.65,29.89,200.44,6.83
cluster_01,2025-12-11 02:00:00,13.34,14.36,78.73,56.35,131.12,30.16,199.39,6.72
cluster_02,2025-12-11 02:00:00,12.91,13.7,80.89,57.67,133.34,29.73,200.1,6.76
cluster_03,2025-12-11 02:00:00,12.55,12.81,81.07,61.8,137.41,30.06,207.29,6.85
cluster_04,2025-12-11 02:00:00,12.51,13.31,80.91,61.73,138.0,,201.21,6.81
cluster_05,2025-12-11 02:00:00,12.11,11.89,86.47,66.87,142.45,31.47,205.41,6.86
cluster_06,2025-12-11 02:00:00,13.7,15.36,81.46,48.82,121.61,27.66,195.14,6.61
cluster_07,2025-12-11 02:00:00,14.54,14.43,82.4,53.97,130.91,29.17,195.79,6.78
cluster_08,2025-12-11 02:00:00,13.92,13.34,81.3,57.44,132.07,30.31,195.99,6.82
cluster_09,2025-12-11 02:00:00,11.59,13.43,81.04,59.87,132.42,29.76,199.88,6.76
cluster_10,2025-12-11 02:00:00,14.01,12.92,81.49,59.94,134.32,30.43,201.29,6.93
cluster_01,2025-12-11 02:30:00,13.95,15.64,81.64,,131.2,28.87,196.85,6.8
cluster_02,2025-12-11 02:30:00,,13.4,78.24,11.69,135.43,29.59,201.34,6.78
cluster_03,2025-12-11 02:30:00,12.71,13.44,75.88,57.72,136.91,29.5,204.87,6.78
cluster_04,2025-12-11 02:30:00,11.75,13.04,81.95,59.32,138.26,30.22,-203.08,6.76
cluster_05,2025-12-11 02:30:00,12.15,12.54,78.89,67.78,142.85,30.87,206.64,6.85
cluster_06,2025-12-11 02:30:00,16.27,15.17,81.08,49.44,120.71,27.06,195.39,6.72
cluster_07,2025-12-11 02:30:00,13.84,15.44,84.24,57.19,129.04,29.09,199.57,6.64
cluster_08,2025-12-11 02:30:00,2.94,14.13,80.6,56.91,131.29,29.35,198.07,6.87
cluster_09,2025-12-11 02:30:00,13.5,13.18,79.32,58.21,133.0,29.34,198.23,6.75
cluster_10,2025-12-11 02:30:00,14.92,13.1,82.63,61.49,137.11,30.06,195.0,6.83
cluster_01,2025-12-11 03:00:00,15.02,14.98,75.66,56.54,129.09,29.81,197.74,6.82
cluster_02,2025-12-11 03:00:00,14.42,15.12,79.14,59.45,135.76,29.9,201.55,6.75
cluster_03,2025-12-11 03:00:00,12.98,15.22,82.9,59.63,137.14,30.12,200.39,6.75
cluster_04,2025-12-11 03:00:00,15.78,14.66,81.02,,137.78,32.07,200.53,6.78
cluster_05,2025-12-11 03:00:00,13.65,13.43,78.55,66.91,144.62,31.26,203.72,6.78
cluster_06,2025-12-11 03:00:00,16.32,15.9,78.16,50.7,121.57,26.86,192.65,6.62
cluster_07,2025-12-11 03:00:00,13.71,14.61,78.68,55.05,129.12,28.47,200.33,6.79
cluster_08,2025-12-11 03:00:00,14.93,14.78,79.39,57.85,131.31,28.91,202.32,6.85
cluster_09,2025-12-11 03:00:00,14.94,13.3,,58.86,133.48,29.9,195.39,6.75
cluster_10,2025-12-11 03:00:00,13.28,14.54,76.71,59.83,136.04,30.56,202.3,6.81
