cluster_id,timestamp,x,y,temperature,soilTemperature,humidity,soilMoisture,azote_mg_kg,phosphore_mg_kg,potassium_mg_kg,ph
cluster_05,2025-12-10 11:30:00,91.6,28.3,27.0,26.4,44.4,66.9,143.2,32.6,206.2,6.87
cluster_06,2025-12-10 11:30:00,2.3,82.5,29.9,30.0,47.5,48.3,120.9,26.9,190.4,6.73
cluster_07,2025-12-10 11:30:00,35.3,70.4,27.6,27.8,47.2,55.4,128.4,29.1,196.0,6.75
cluster_08,2025-12-10 11:30:00,44.9,69.9,28.0,27.8,44.7,57.2,132.6,29.0,197.3,6.8
cluster_09,2025-12-10 11:30:00,66.9,75.4,27.9,27.9,46.2,59.4,135.2,29.2,202.2,6.82
cluster_10,2025-12-10 11:30:00,88.9,71.7,28.1,27.7,40.3,60.5,136.1,30.3,201.5,6.82
cluster_01,2025-12-10 12:00:00,8.0,32.2,28.8,28.3,45.1,58.3,131.6,30.0,201.1,6.75
cluster_02,2025-12-10 12:00:00,33.7,26.6,28.4,28.3,41.8,59.9,134.6,30.0,195.6,6.85
cluster_03,2025-12-10 12:00:00,44.5,19.5,27.4,27.9,43.6,60.9,137.3,30.7,203.2,6.83
cluster_04,2025-12-10 12:00:00,62.9,30.9,26.9,27.3,44.9,60.7,135.4,30.0,202.5,6.97
cluster_05,2025-12-10 12:00:00,91.6,28.3,26.6,26.4,46.8,67.8,141.9,31.6,204.7,6.89
cluster_06,2025-12-10 12:00:00,2.3,82.5,30.3,30.1,42.1,50.2,120.6,26.4,192.5,6.69
cluster_07,2025-12-10 12:00:00,35.3,70.4,28.1,27.9,48.9,56.9,128.9,28.1,198.5,6.73
cluster_08,2025-12-10 12:00:00,44.9,69.9,28.1,28.1,41.6,57.6,133.3,30.0,201.1,6.85
cluster_09,2025-12-10 12:00:00,66.9,75.4,28.2,28.1,46.9,59.1,132.1,29.8,197.4,6.9
cluster_10,2025-12-10 12:00:00,88.9,71.7,27.9,27.7,44.3,60.6,135.1,29.3,203.3,6.78
cluster_01,2025-12-10 12:30:00,8.0,32.2,28.4,28.3,43.9,59.0,132.2,28.9,200.2,6.8
cluster_02,2025-12-10 12:30:00,33.7,26.6,28.1,28.1,47.5,60.3,134.9,30.1,202.1,6.85
cluster_03,2025-12-10 12:30:00,44.5,19.5,27.5,27.9,46.7,60.0,137.3,30.2,200.4,6.83
cluster_04,2025-12-10 12:30:00,62.9,30.9,27.5,27.2,46.2,60.5,136.8,30.5,202.1,6.77
cluster_05,2025-12-10 12:30:00,91.6,28.3,25.7,26.2,45.2,67.3,143.4,31.2,204.1,6.95
cluster_06,2025-12-10 12:30:00,2.3,82.5,29.7,30.0,43.8,50.4,118.9,26.1,195.7,6.73
cluster_07,2025-12-10 12:30:00,35.3,70.4,27.6,28.0,45.9,55.6,130.1,28.9,196.8,6.71
cluster_08,2025-12-10 12:30:00,44.9,69.9,28.6,28.1,45.9,57.6,134.0,28.2,199.2,6.75
cluster_09,2025-12-10 12:30:00,66.9,75.4,28.3,28.0,45.6,59.8,134.7,29.1,198.8,6.8
cluster_10,2025-12-10 12:30:00,88.9,71.7,27.9,27.8,45.0,60.1,136.1,29.2,198.8,6.83
cluster_01,2025-12-10 13:00:00,8.0,32.2,28.1,27.9,50.0,56.6,132.0,29.2,198.4,6.7
cluster_02,2025-12-10 13:00:00,33.7,26.6,28.4,28.0,44.2,59.8,135.2,29.3,198.9,6.74
cluster_03,2025-12-10 13:00:00,44.5,19.5,28.1,27.6,45.3,61.5,136.7,30.2,201.7,6.73
cluster_04,2025-12-10 13:00:00,62.9,30.9,27.2,27.0,46.3,60.2,136.8,30.8,202.5,6.8
cluster_05,2025-12-10 13:00:00,91.6,28.3,26.2,26.0,47.0,67.1,143.7,31.8,205.8,6.87
cluster_06,2025-12-10 13:00:00,2.3,82.5,29.8,29.5,43.7,50.4,120.6,27.8,193.2,6.69
cluster_07,2025-12-10 13:00:00,35.3,70.4,28.3,28.1,45.3,57.6,128.3,29.3,195.8,6.91
cluster_08,2025-12-10 13:00:00,44.9,69.9,27.9,27.9,46.2,60.1,132.7,30.1,198.8,6.74
cluster_09,2025-12-10 13:00:00,66.9,75.4,28.3,27.7,49.0,58.5,132.7,29.1,198.1,6.82
cluster_10,2025-12-10 13:00:00,88.9,71.7,27.2,27.4,43.9,59.6,135.4,30.0,200.4,6.9
cluster_01,2025-12-10 13:30:00,8.0,32.2,27.7,27.4,47.8,58.3,131.7,29.1,197.0,6.8
cluster_02,2025-12-10 13:30:00,33.7,26.6,28.2,27.5,44.9,61.4,135.3,29.6,198.2,6.81
cluster_03,2025-12-10 13:30:00,44.5,19.5,28.0,27.3,46.4,61.4,136.5,30.1,202.3,6.77
cluster_04,2025-12-10 13:30:00,62.9,30.9,27.1,26.6,42.5,62.4,137.6,30.4,205.9,6.84
cluster_05,2025-12-10 13:30:00,91.6,28.3,25.6,25.6,50.1,69.3,143.0,32.2,204.1,6.82
cluster_06,2025-12-10 13:30:00,2.3,82.5,30.1,29.2,43.0,47.2,121.8,27.5,192.9,6.71
cluster_07,2025-12-10 13:30:00,35.3,70.4,28.4,27.9,48.6,55.3,130.9,28.9,198.7,6.76
cluster_08,2025-12-10 13:30:00,44.9,69.9,27.9,27.6,46.6,59.0,132.2,29.8,199.2,6.73
cluster_09,2025-12-10 13:30:00,66.9,75.4,27.4,27.3,46.2,59.0,131.6,30.5,201.7,6.72
cluster_10,2025-12-10 13:30:00,88.9,71.7,27.8,27.0,46.8,60.0,135.3,29.5,200.3,6.86
cluster_01,2025-12-10 14:00:00,8.0,32.2,26.6,26.9,43.6,58.6,130.7,30.0,199.7,6.78
cluster_02,2025-12-10 14:00:00,33.7,26.6,26.9,27.1,48.1,59.1,135.2,29.8,201.3,6.77
cluster_03,2025-12-10 14:00:00,44.5,19.5,27.0,27.0,47.9,60.9,137.9,30.9,203.1,6.81
cluster_04,2025-12-10 14:00:00,62.9,30.9,26.4,26.2,45.4,62.9,137.0,31.0,205.4,6.85
cluster_05,2025-12-10 14:00:00,91.6,28.3,25.7,25.4,49.8,68.6,144.0,31.6,208.1,6.99
cluster_06,2025-12-10 14:00:00,2.3,82.5,27.8,29.0,47.9,51.2,120.0,27.2,196.1,6.69
cluster_07,2025-12-10 14:00:00,35.3,70.4,28.1,27.6,50.6,56.1,130.9,28.9,200.6,6.67
cluster_08,2025-12-10 14:00:00,44.9,69.9,26.9,27.2,47.2,58.9,130.8,30.2,196.7,6.8
cluster_09,2025-12-10 14:00:00,66.9,75.4,26.1,26.8,48.9,55.4,133.7,30.2,199.5,6.75
cluster_10,2025-12-10 14:00:00,88.9,71.7,26.3,26.5,48.7,59.7,135.1,30.4,200.7,6.84
cluster_01,2025-12-10 14:30:00,8.0,32.2,26.4,26.5,49.5,55.8,131.9,29.4,199.1,6.81
cluster_02,2025-12-10 14:30:00,33.7,26.6,26.0,26.3,51.4,59.9,134.7,29.8,199.1,6.74
cluster_03,2025-12-10 14:30:00,44.5,19.5,25.7,26.3,49.6,60.3,136.2,29.9,202.8,6.84
cluster_04,2025-12-10 14:30:00,62.9,30.9,25.0,25.6,51.0,63.5,137.6,30.7,199.7,6.87
cluster_05,2025-12-10 14:30:00,91.6,28.3,24.5,24.9,49.3,67.6,141.6,32.2,201.1,6.86
cluster_06,2025-12-10 14:30:00,2.3,82.5,28.5,28.4,52.7,49.0,121.0,26.9,190.0,6.68
cluster_07,2025-12-10 14:30:00,35.3,70.4,27.2,26.8,48.2,55.7,130.3,28.4,199.0,6.84
cluster_08,2025-12-10 14:30:00,44.9,69.9,26.8,26.6,48.5,59.0,132.4,29.4,197.8,6.69
cluster_09,2025-12-10 14:30:00,66.9,75.4,26.3,26.3,50.7,58.3,133.2,29.7,202.7,6.73
cluster_10,2025-12-10 14:30:00,88.9,71.7,25.7,26.2,50.5,61.1,133.8,30.1,197.3,6.85
cluster_01,2025-12-10 15:00:00,8.0,32.2,25.9,25.9,49.5,56.3,133.4,29.8,200.1,6.79
cluster_02,2025-12-10 15:00:00,33.7,26.6,25.9,25.7,48.8,58.9,134.4,30.6,202.0,6.79
cluster_03,2025-12-10 15:00:00,44.5,19.5,26.4,25.4,50.6,62.1,135.0,30.3,202.4,6.71
cluster_04,2025-12-10 15:00:00,62.9,30.9,25.1,25.0,50.6,62.5,137.7,29.3,204.3,6.91
cluster_05,2025-12-10 15:00:00,91.6,28.3,24.9,24.3,49.8,65.1,143.3,32.1,203.0,6.89
cluster_06,2025-12-10 15:00:00,2.3,82.5,28.6,27.7,56.2,50.4,121.4,26.9,190.3,6.67
cluster_07,2025-12-10 15:00:00,35.3,70.4,25.8,25.9,49.4,55.2,128.9,29.3,199.4,6.8
cluster_08,2025-12-10 15:00:00,44.9,69.9,26.4,25.9,51.9,56.9,133.3,28.5,198.8,6.81
cluster_09,2025-12-10 15:00:00,66.9,75.4,25.8,25.6,50.7,59.5,132.3,29.8,200.1,6.86
cluster_10,2025-12-10 15:00:00,88.9,71.7,25.7,25.4,46.1,59.4,137.2,30.2,200.4,6.88
cluster_01,2025-12-10 15:30:00,8.0,32.2,25.8,25.1,54.5,55.4,132.8,28.6,199.6,6.85
cluster_02,2025-12-10 15:30:00,33.7,26.6,24.5,24.9,52.9,58.3,134.5,30.2,201.1,6.79
cluster_03,2025-12-10 15:30:00,44.5,19.5,24.4,24.6,53.3,62.7,136.6,30.3,200.0,6.81
cluster_04,2025-12-10 15:30:00,62.9,30.9,24.4,24.2,51.8,62.8,139.1,30.2,201.8,6.85
cluster_05,2025-12-10 15:30:00,91.6,28.3,23.6,23.6,47.7,67.0,141.7,31.1,203.8,6.94
cluster_06,2025-12-10 15:30:00,2.3,82.5,26.9,27.1,53.0,50.5,119.7,26.6,189.6,6.73
cluster_07,2025-12-10 15:30:00,35.3,70.4,24.5,24.9,53.1,56.9,131.4,28.7,196.5,6.73
cluster_08,2025-12-10 15:30:00,44.9,69.9,24.8,25.2,52.8,56.6,133.4,29.7,198.4,6.78
cluster_09,2025-12-10 15:30:00,66.9,75.4,25.7,25.0,54.4,58.3,131.7,29.6,199.8,6.67
cluster_10,2025-12-10 15:30:00,88.9,71.7,25.6,24.8,50.2,61.8,134.3,29.7,197.3,6.87
cluster_01,2025-12-10 16:00:00,8.0,32.2,24.6,24.3,53.4,57.2,133.1,29.5,200.4,6.79
cluster_02,2025-12-10 16:00:00,33.7,26.6,25.0,24.1,55.9,59.0,134.4,29.4,201.3,6.93
cluster_03,2025-12-10 16:00:00,44.5,19.5,23.6,24.0,58.2,60.5,138.2,30.0,199.5,6.83
cluster_04,2025-12-10 16:00:00,62.9,30.9,24.0,23.7,52.3,61.0,136.7,30.1,202.1,6.77
cluster_05,2025-12-10 16:00:00,91.6,28.3,22.7,23.0,54.7,70.0,141.7,31.3,204.9,6.85
cluster_06,2025-12-10 16:00:00,2.3,82.5,26.7,26.2,57.2,48.8,120.1,26.9,193.6,6.77
cluster_07,2025-12-10 16:00:00,35.3,70.4,23.8,23.9,56.7,56.7,132.0,28.0,194.4,6.72
cluster_08,2025-12-10 16:00:00,44.9,69.9,24.7,24.4,55.6,56.7,133.0,30.2,201.4,6.84
cluster_09,2025-12-10 16:00:00,66.9,75.4,23.9,24.3,53.8,58.2,133.4,30.0,199.4,6.77
cluster_10,2025-12-10 16:00:00,88.9,71.7,23.7,24.2,54.4,61.2,133.9,30.9,200.9,6.84
cluster_01,2025-12-10 16:30:00,8.0,32.2,22.6,23.4,57.1,58.1,130.9,29.8,197.2,6.76
cluster_02,2025-12-10 16:30:00,33.7,26.6,23.1,23.1,58.7,59.6,135.8,30.1,197.2,6.83
cluster_03,2025-12-10 16:30:00,44.5,19.5,23.0,23.0,59.3,60.4,135.1,29.6,201.3,6.86
cluster_04,2025-12-10 16:30:00,62.9,30.9,22.4,22.6,55.2,60.4,136.0,30.7,197.7,6.81
cluster_05,2025-12-10 16:30:00,91.6,28.3,22.2,21.9,56.7,67.1,142.2,32.1,206.5,6.83
cluster_06,2025-12-10 16:30:00,2.3,82.5,24.6,25.0,57.8,50.3,119.5,26.1,193.2,6.76
cluster_07,2025-12-10 16:30:00,35.3,70.4,23.1,23.0,58.9,57.3,130.1,28.8,200.6,6.8
cluster_08,2025-12-10 16:30:00,44.9,69.9,23.4,23.4,57.8,59.1,131.9,30.0,199.2,6.75
cluster_09,2025-12-10 16:30:00,66.9,75.4,23.5,23.3,56.5,57.6,134.4,29.4,200.9,6.65
cluster_10,2025-12-10 16:30:00,88.9,71.7,23.3,23.3,58.5,60.4,135.0,31.5,195.9,6.87
cluster_01,2025-12-10 17:00:00,8.0,32.2,22.7,22.2,60.8,58.9,130.5,29.4,200.9,6.79
cluster_02,2025-12-10 17:00:00,33.7,26.6,21.9,22.1,60.2,59.1,135.2,30.2,202.3,6.74
cluster_03,2025-12-10 17:00:00,44.5,19.5,22.6,22.1,61.6,61.4,135.8,30.4,202.5,6.85
cluster_04,2025-12-10 17:00:00,62.9,30.9,22.6,21.8,55.8,62.4,137.2,29.1,200.7,6.84
cluster_05,2025-12-10 17:00:00,91.6,28.3,21.3,20.9,60.6,68.4,141.9,30.2,204.0,6.89
cluster_06,2025-12-10 17:00:00,2.3,82.5,24.0,23.8,60.8,49.3,119.7,26.8,195.9,6.64
cluster_07,2025-12-10 17:00:00,35.3,70.4,22.3,22.2,57.0,54.3,130.5,29.5,201.7,6.76
cluster_08,2025-12-10 17:00:00,44.9,69.9,22.9,22.5,62.1,57.2,130.5,29.2,200.5,6.78
cluster_09,2025-12-10 17:00:00,66.9,75.4,22.4,22.3,57.2,59.6,134.0,30.2,195.8,6.75
cluster_10,2025-12-10 17:00:00,88.9,71.7,22.5,22.1,60.8,60.4,134.2,29.9,196.5,6.76
cluster_01,2025-12-10 17:30:00,8.0,32.2,21.3,21.3,64.1,57.5,131.3,29.9,198.7,6.81
cluster_02,2025-12-10 17:30:00,33.7,26.6,21.1,20.8,61.7,58.8,131.7,30.5,200.4,6.78
cluster_03,2025-12-10 17:30:00,44.5,19.5,21.2,21.2,61.5,60.6,136.6,30.2,200.2,6.85
cluster_04,2025-12-10 17:30:00,62.9,30.9,19.8,20.7,62.2,62.0,136.2,31.7,199.4,6.93
cluster_05,2025-12-10 17:30:00,91.6,28.3,19.8,19.7,62.1,68.7,142.3,31.5,201.2,6.79
cluster_06,2025-12-10 17:30:00,2.3,82.5,23.0,22.5,61.7,47.6,119.3,27.0,193.3,6.77
cluster_07,2025-12-10 17:30:00,35.3,70.4,21.6,21.4,66.2,57.1,130.2,28.8,200.7,6.67
cluster_08,2025-12-10 17:30:00,44.9,69.9,21.3,21.5,63.7,56.5,132.0,29.6,198.8,6.84
cluster_09,2025-12-10 17:30:00,66.9,75.4,21.2,21.3,62.9,59.2,133.4,29.6,199.4,6.77
cluster_10,2025-12-10 17:30:00,88.9,71.7,21.4,21.0,63.3,59.8,135.1,30.3,201.8,6.74
cluster_01,2025-12-10 18:00:00,8.0,32.2,20.1,20.5,62.6,59.0,131.5,29.1,202.5,6.78
cluster_02,2025-12-10 18:00:00,33.7,26.6,19.3,19.9,63.3,58.1,135.3,30.7,199.2,6.86
cluster_03,2025-12-10 18:00:00,44.5,19.5,20.0,20.1,63.2,60.8,136.1,30.5,202.8,6.78
cluster_04,2025-12-10 18:00:00,62.9,30.9,20.3,19.8,63.8,61.6,138.4,30.7,202.7,6.75
cluster_05,2025-12-10 18:00:00,91.6,28.3,18.4,18.6,64.4,67.5,142.6,30.9,205.7,6.87
cluster_06,2025-12-10 18:00:00,2.3,82.5,20.8,21.5,65.4,50.8,119.6,27.4,192.1,6.69
cluster_07,2025-12-10 18:00:00,35.3,70.4,20.1,20.4,63.7,58.6,130.5,29.9,196.9,6.86
cluster_08,2025-12-10 18:00:00,44.9,69.9,20.5,20.4,65.4,57.3,132.1,29.3,200.9,6.86
cluster_09,2025-12-10 18:00:00,66.9,75.4,20.6,20.2,65.7,59.4,133.9,29.5,199.1,6.86
cluster_10,2025-12-10 18:00:00,88.9,71.7,19.7,19.7,64.2,60.6,135.9,30.1,199.1,6.82
cluster_01,2025-12-10 18:30:00,8.0,32.2,19.7,19.5,66.9,55.9,132.5,30.0,196.9,6.78
cluster_02,2025-12-10 18:30:00,33.7,26.6,18.5,18.8,67.8,59.4,134.8,29.4,200.2,6.91
cluster_03,2025-12-10 18:30:00,44.5,19.5,19.0,19.0,69.5,61.6,135.1,30.0,203.6,6.72
cluster_04,2025-12-10 18:30:00,62.9,30.9,18.5,18.7,65.7,61.9,136.7,30.5,203.2,6.88
cluster_05,2025-12-10 18:30:00,91.6,28.3,16.9,17.4,64.1,66.4,143.7,31.4,205.5,6.89
cluster_06,2025-12-10 18:30:00,2.3,82.5,20.3,20.5,68.7,48.8,122.0,27.1,192.9,6.74
cluster_07,2025-12-10 18:30:00,35.3,70.4,19.8,19.5,67.1,55.6,129.8,29.2,195.3,6.75
cluster_08,2025-12-10 18:30:00,44.9,69.9,19.2,19.3,70.6,57.4,132.1,29.1,199.6,6.75
cluster_09,2025-12-10 18:30:00,66.9,75.4,18.8,19.1,70.0,56.8,133.3,29.7,200.7,6.81
cluster_10,2025-12-10 18:30:00,88.9,71.7,18.3,18.6,67.0,61.4,136.2,29.9,198.2,6.82
cluster_01,2025-12-10 19:00:00,8.0,32.2,18.9,18.5,69.2,55.6,129.7,30.5,201.8,6.75
cluster_02,2025-12-10 19:00:00,33.7,26.6,18.5,17.7,68.0,58.0,134.6,29.6,196.3,6.72
cluster_03,2025-12-10 19:00:00,44.5,19.5,17.7,17.6,71.9,58.9,137.2,30.9,198.8,6.8
cluster_04,2025-12-10 19:00:00,62.9,30.9,18.0,17.9,70.0,61.8,136.4,31.0,196.9,6.83
cluster_05,2025-12-10 19:00:00,91.6,28.3,16.4,16.4,68.3,64.8,142.5,31.5,200.1,6.87
cluster_06,2025-12-10 19:00:00,2.3,82.5,19.3,19.6,69.0,48.7,119.6,27.5,193.1,6.66
cluster_07,2025-12-10 19:00:00,35.3,70.4,18.5,18.6,68.4,57.9,129.9,29.2,195.4,6.84
cluster_08,2025-12-10 19:00:00,44.9,69.9,18.2,18.4,71.0,57.9,133.1,30.0,198.8,6.8
cluster_09,2025-12-10 19:00:00,66.9,75.4,17.8,18.0,71.8,58.4,131.9,29.4,198.9,6.75
cluster_10,2025-12-10 19:00:00,88.9,71.7,16.7,17.6,68.7,59.5,136.0,29.7,202.7,6.78
cluster_01,2025-12-10 19:30:00,8.0,32.2,17.8,17.6,71.3,57.2,133.0,29.1,198.7,6.75
cluster_02,2025-12-10 19:30:00,33.7,26.6,16.6,16.9,66.8,60.2,134.2,29.3,200.7,6.71
cluster_03,2025-12-10 19:30:00,44.5,19.5,17.0,16.6,75.6,62.1,138.4,29.8,199.0,6.87
cluster_04,2025-12-10 19:30:00,62.9,30.9,16.6,16.8,73.4,62.7,136.5,31.6,201.0,6.87
cluster_05,2025-12-10 19:30:00,91.6,28.3,15.4,15.5,73.6,67.9,141.2,31.4,204.0,6.8
cluster_06,2025-12-10 19:30:00,2.3,82.5,19.3,18.9,72.5,49.1,120.7,27.8,189.5,6.71
cluster_07,2025-12-10 19:30:00,35.3,70.4,17.6,17.6,78.1,55.7,130.9,29.0,194.2,6.83
cluster_08,2025-12-10 19:30:00,44.9,69.9,17.4,17.2,75.3,57.9,134.4,28.9,198.8,6.8
cluster_09,2025-12-10 19:30:00,66.9,75.4,17.1,17.0,72.1,58.2,131.9,29.9,197.2,6.85
cluster_10,2025-12-10 19:30:00,88.9,71.7,16.7,16.5,74.2,58.7,134.9,29.5,200.8,6.85
cluster_01,2025-12-10 20:00:00,8.0,32.2,16.0,16.6,78.5,57.6,131.3,29.1,197.0,6.71
cluster_02,2025-12-10 20:00:00,33.7,26.6,15.5,16.2,75.9,59.5,135.7,29.8,197.8,6.9
cluster_03,2025-12-10 20:00:00,44.5,19.5,14.5,15.6,73.8,60.9,136.3,31.1,200.4,6.89
cluster_04,2025-12-10 20:00:00,62.9,30.9,16.2,15.8,79.2,62.7,137.7,30.9,203.3,6.82
cluster_05,2025-12-10 20:00:00,91.6,28.3,14.8,14.8,78.4,66.3,143.9,31.3,200.8,6.96
cluster_06,2025-12-10 20:00:00,2.3,82.5,18.3,18.1,74.9,49.8,120.0,27.7,198.3,6.72
cluster_07,2025-12-10 20:00:00,35.3,70.4,17.2,16.7,75.5,54.6,132.3,29.0,197.4,6.72
cluster_08,2025-12-10 20:00:00,44.9,69.9,16.6,16.5,76.2,56.8,132.5,29.1,196.9,6.8
cluster_09,2025-12-10 20:00:00,66.9,75.4,15.9,16.1,72.6,58.2,133.2,29.4,199.3,6.8
cluster_10,2025-12-10 20:00:00,88.9,71.7,16.5,15.8,73.2,60.9,135.2,29.5,201.9,6.72
cluster_01,2025-12-10 20:30:00,8.0,32.2,15.4,15.7,78.0,57.2,131.0,30.1,197.3,6.87
cluster_02,2025-12-10 20:30:00,33.7,26.6,15.4,15.3,79.0,57.9,135.5,30.2,197.2,6.82
cluster_03,2025-12-10 20:30:00,44.5,19.5,14.8,14.7,76.7,60.4,135.2,29.4,201.3,6.85
cluster_04,2025-12-10 20:30:00,62.9,30.9,14.6,15.0,74.2,61.9,136.8,30.9,200.7,6.78
cluster_05,2025-12-10 20:30:00,91.6,28.3,13.7,13.9,77.0,67.3,142.0,31.1,202.7,6.89
cluster_06,2025-12-10 20:30:00,2.3,82.5,17.2,17.4,78.8,49.4,121.7,27.4,193.9,6.63
cluster_07,2025-12-10 20:30:00,35.3,70.4,15.2,15.9,75.5,55.6,128.5,28.9,200.8,6.82
cluster_08,2025-12-10 20:30:00,44.9,69.9,14.8,15.4,73.5,58.3,132.2,29.0,199.8,6.77
cluster_09,2025-12-10 20:30:00,66.9,75.4,15.6,15.3,78.0,57.8,133.2,29.9,197.1,6.8
cluster_10,2025-12-10 20:30:00,88.9,71.7,14.5,15.1,78.9,60.5,135.6,30.3,199.9,6.79
cluster_01,2025-12-10 21:00:00,8.0,32.2,14.9,14.8,76.6,55.1,130.4,30.1,197.7,6.72
cluster_02,2025-12-10 21:00:00,33.7,26.6,14.9,14.7,74.4,59.1,133.8,30.5,196.8,6.76
cluster_03,2025-12-10 21:00:00,44.5,19.5,14.2,13.9,75.9,60.7,134.6,30.5,199.6,6.84
cluster_04,2025-12-10 21:00:00,62.9,30.9,13.5,14.2,81.5,62.2,136.3,30.5,202.5,6.86
cluster_05,2025-12-10 21:00:00,91.6,28.3,13.5,13.2,79.8,65.8,142.7,32.7,202.2,6.95
cluster_06,2025-12-10 21:00:00,2.3,82.5,16.7,16.6,77.0,50.0,121.8,27.1,193.3,6.74
cluster_07,2025-12-10 21:00:00,35.3,70.4,15.2,15.1,80.9,57.0,129.8,28.9,197.3,6.74
cluster_08,2025-12-10 21:00:00,44.9,69.9,15.4,14.6,81.8,56.9,132.2,28.8,198.7,6.85
cluster_09,2025-12-10 21:00:00,66.9,75.4,14.2,14.5,81.4,58.1,134.2,30.3,195.4,6.73
cluster_10,2025-12-10 21:00:00,88.9,71.7,14.6,14.3,79.6,59.0,133.4,29.8,205.5,6.79
cluster_01,2025-12-10 21:30:00,8.0,32.2,14.6,14.2,82.7,57.1,129.8,29.1,199.2,6.75
cluster_02,2025-12-10 21:30:00,33.7,26.6,14.0,14.0,78.8,58.6,135.0,29.9,202.1,6.83
cluster_03,2025-12-10 21:30:00,44.5,19.5,12.9,13.4,80.1,60.7,136.4,30.5,203.4,6.84
cluster_04,2025-12-10 21:30:00,62.9,30.9,14.0,13.4,82.8,61.9,138.6,30.4,201.8,6.86
cluster_05,2025-12-10 21:30:00,91.6,28.3,12.1,12.6,82.8,66.8,143.2,32.5,205.6,6.87
cluster_06,2025-12-10 21:30:00,2.3,82.5,15.5,15.9,80.8,48.1,121.4,26.7,194.1,6.77
cluster_07,2025-12-10 21:30:00,35.3,70.4,14.3,14.4,82.4,55.0,128.8,29.3,198.2,6.68
cluster_08,2025-12-10 21:30:00,44.9,69.9,13.0,13.8,81.1,57.4,132.5,29.6,197.8,6.69
cluster_09,2025-12-10 21:30:00,66.9,75.4,13.9,13.9,82.4,59.3,134.1,29.4,200.7,6.75
cluster_10,2025-12-10 21:30:00,88.9,71.7,13.1,13.6,80.8,59.4,135.7,28.8,199.0,6.73
cluster_01,2025-12-10 22:00:00,8.0,32.2,13.3,13.6,86.6,55.8,132.2,29.1,199.4,6.75
cluster_02,2025-12-10 22:00:00,33.7,26.6,13.6,13.3,83.6,59.6,133.6,29.8,198.6,6.67
cluster_03,2025-12-10 22:00:00,44.5,19.5,13.0,13.1,84.3,59.0,137.2,29.9,201.5,6.79
cluster_04,2025-12-10 22:00:00,62.9,30.9,12.7,13.0,80.8,60.9,136.1,30.2,201.8,6.87
cluster_05,2025-12-10 22:00:00,91.6,28.3,11.8,12.1,80.7,67.1,143.0,31.0,204.2,6.84
cluster_06,2025-12-10 22:00:00,2.3,82.5,15.6,15.3,86.1,48.7,120.8,27.5,194.3,6.7
cluster_07,2025-12-10 22:00:00,35.3,70.4,13.5,14.0,81.9,55.3,131.5,28.6,200.3,6.75
cluster_08,2025-12-10 22:00:00,44.9,69.9,13.0,13.4,82.2,58.2,131.6,30.1,201.0,6.77
cluster_09,2025-12-10 22:00:00,66.9,75.4,13.2,13.3,84.5,56.5,133.9,29.6,200.4,6.75
cluster_10,2025-12-10 22:00:00,88.9,71.7,13.0,13.1,81.0,59.2,133.7,30.3,203.7,6.89
cluster_01,2025-12-10 22:30:00,8.0,32.2,12.9,13.0,85.5,57.8,131.5,29.2,197.2,6.83
cluster_02,2025-12-10 22:30:00,33.7,26.6,12.2,12.8,87.6,60.6,133.2,30.0,203.0,6.8
cluster_03,2025-12-10 22:30:00,44.5,19.5,12.3,12.7,82.5,62.2,136.6,30.5,200.7,6.81
cluster_04,2025-12-10 22:30:00,62.9,30.9,12.4,12.6,83.9,62.0,137.0,30.0,200.5,6.82
cluster_05,2025-12-10 22:30:00,91.6,28.3,12.0,11.6,84.2,67.3,143.9,32.4,201.4,6.89
cluster_06,2025-12-10 22:30:00,2.3,82.5,14.5,14.7,85.8,49.3,120.3,28.0,192.6,6.77
cluster_07,2025-12-10 22:30:00,35.3,70.4,13.7,13.4,85.2,56.4,129.3,28.5,196.8,6.79
cluster_08,2025-12-10 22:30:00,44.9,69.9,12.9,13.0,84.0,56.8,132.5,29.4,196.3,6.81
cluster_09,2025-12-10 22:30:00,66.9,75.4,12.9,12.9,83.1,60.1,133.0,29.9,200.2,6.8
cluster_10,2025-12-10 22:30:00,88.9,71.7,12.9,12.6,80.8,59.4,137.2,30.1,200.1,6.74
cluster_01,2025-12-10 23:00:00,8.0,32.2,12.1,12.6,81.3,57.5,130.1,28.7,198.3,6.77
cluster_02,2025-12-10 23:00:00,33.7,26.6,11.6,12.4,84.4,57.4,133.9,29.5,198.8,6.82
cluster_03,2025-12-10 23:00:00,44.5,19.5,12.9,12.5,85.6,60.7,136.1,30.9,197.8,6.9
cluster_04,2025-12-10 23:00:00,62.9,30.9,12.6,12.2,83.4,59.9,137.6,30.1,198.6,6.79
cluster_05,2025-12-10 23:00:00,91.6,28.3,11.2,11.3,82.8,65.9,143.3,31.4,205.8,6.87
cluster_06,2025-12-10 23:00:00,2.3,82.5,14.2,14.5,87.0,51.3,119.3,27.3,191.6,6.7
cluster_07,2025-12-10 23:00:00,35.3,70.4,13.3,13.1,82.7,55.8,128.5,28.5,201.6,6.75
cluster_08,2025-12-10 23:00:00,44.9,69.9,12.8,12.6,83.6,56.9,132.8,28.8,198.0,6.81
cluster_09,2025-12-10 23:00:00,66.9,75.4,12.2,12.5,83.4,58.8,131.9,29.5,201.9,6.8
cluster_10,2025-12-10 23:00:00,88.9,71.7,11.8,12.3,83.0,59.7,134.7,30.7,196.9,6.78
